ID,ladoMSANLEFT,ladoMSANRIGHT,ladocabeceraLEFT,ladocabeceraRIGHT,"Nombre del cable",Filamento
34,"CP 6413487 FIL 1
FCA O045F SPL-1","MSAN 8410-POCT 1-1-1","MSAN 8410-POCT 1-1-1
FCA O045F SPL-1","CP 6413487 FIL 1",6413487,1
35,"CP 6413487 FIL 2
FCA O045F SPL-2","MSAN 8410-POCT 1-1-2","MSAN 8410-POCT 1-1-2
FCA O045F SPL-2","CP 6413487 FIL 2",6413487,2
36,"CP 6413487 FIL 3
FCA O045F SPL-3","MSAN 8410-POCT 1-1-3","MSAN 8410-POCT 1-1-3
FCA O045F SPL-3","CP 6413487 FIL 3",6413487,3
37,"CP 6413487 FIL 25
FCA O050F SPL-1","MSAN 8410-POCT 1-1-4","MSAN 8410-POCT 1-1-4
FCA O050F SPL-1","CP 6413487 FIL 25",6413487,25
38,"CP 6413487 FIL 26
FCA O050F SPL-2","MSAN 8410-POCT 1-1-5","MSAN 8410-POCT 1-1-5
FCA O050F SPL-2","CP 6413487 FIL 26",6413487,26
39,"CP 6413487 FIL 27
FCA O050F SPL-3","MSAN 8410-POCT 1-1-6","MSAN 8410-POCT 1-1-6
FCA O050F SPL-3","CP 6413487 FIL 27",6413487,27
40,"CP 6413487 FIL 28
FCA O050F SPL-4","MSAN 8410-POCT 1-1-7","MSAN 8410-POCT 1-1-7
FCA O050F SPL-4","CP 6413487 FIL 28",6413487,28
41,"CP 6413487 FIL 29
FCA O050F SPL-5","MSAN 8410-POCT 1-1-8","MSAN 8410-POCT 1-1-8
FCA O050F SPL-5","CP 6413487 FIL 29",6413487,29
43,"CE 6411008 FIL 39
FCA LCLFF SPL-109","MSAN 7500-PLCO 1-3-1","MSAN 7500-PLCO 1-3-1
FCA LCLFF SPL-109","CE 6411008 FIL 39",6411008,39
44,"CE 6411008 FIL 40
FCA LCLFF SPL-110","MSAN 7500-PLCO 1-3-2","MSAN 7500-PLCO 1-3-2
FCA LCLFF SPL-110","CE 6411008 FIL 40",6411008,40
45,"CE 6411008 FIL 4
FCA LLRSF SPL-104","MSAN 7500-PLCO 1-3-3","MSAN 7500-PLCO 1-3-3
FCA LLRSF SPL-104","CE 6411008 FIL 4",6411008,4
46,"CE 6411008 FIL 9
FCA LLRSF SPL-105","MSAN 7500-PLCO 1-3-4","MSAN 7500-PLCO 1-3-4
FCA LLRSF SPL-105","CE 6411008 FIL 9",6411008,9
47,"CE 6411008 FIL 10
FCA LLRSF SPL-106","MSAN 7500-PLCO 1-3-5","MSAN 7500-PLCO 1-3-5
FCA LLRSF SPL-106","CE 6411008 FIL 10",6411008,10
48,"CE 6411008 FIL 17
FCA LLRSF SPL-107","MSAN 7500-PLCO 1-3-6","MSAN 7500-PLCO 1-3-6
FCA LLRSF SPL-107","CE 6411008 FIL 17",6411008,17
49,"CE 6411008 FIL 18
FCA LLRSF SPL-108","MSAN 7500-PLCO 1-3-7","MSAN 7500-PLCO 1-3-7
FCA LLRSF SPL-108","CE 6411008 FIL 18",6411008,18
50,"CP 6413507 FIL 23
FCA LBDLF SPL-107","MSAN 7500-PLCO 1-4-2","MSAN 7500-PLCO 1-4-2
FCA LBDLF SPL-107","CP 6413507 FIL 23",6413507,23
